Citation,Parent Statute,Document Description,File,Date Originally Published (from File),Date Last Updated (from File)
42 U.S.C. § 5152,Sandy Recovery Improvement Act of 2013,"The Sandy Recovery Improvement Act (SRIA) of 2013 aimed to enhance disaster assistance procedures following Hurricane Sandy by reducing costs, increasing flexibility, and expediting aid. Key provisions included alternative procedures for the Public Assistance Program, expanded housing resources, and streamlined project reviews. Overall, the act represented a significant legislative update to FEMA's authorities, facilitating more efficient disaster recovery efforts.",Sandy Recovery Improvement Act of 2013,1/29/2013,
33 U.S.C. § 2701 to § 2762,Oil Pollution Act ,"The Oil Pollution Act of 1990 (OPA) established strict liability for responsible parties during oil spills and enhanced federal authority to prevent and respond to oil spills in U.S. waters. It created the Oil Spill Liability Trust Fund to cover cleanup costs and damages, while implementing stricter standards for maritime oil transportation and response preparedness. ",Oil Pollution Act ,1/1/1990,12/29/2000
6 U.S.C. § 101 to § 1007,Homeland Security Act,"The Homeland Security Act established the Department of Homeland Security (DHS) as a new executive department to prevent terrorist attacks, reduce vulnerability to terrorism, and minimize damage from attacks. The act consolidated 22 diverse agencies and bureaus under the DHS umbrella, including agencies responsible for border security, immigration services, and emergency management. It also established specific responsibilities for information sharing among DHS entities, other federal agencies, state and local governments, and the private sector to enhance national security efforts",Homeland Security Act,11/25/2002,
5 U.S.C. § 552(b),Freedom of Information Act,"This act allows the public the right to access federal records. It promotes transparency. It applies to all branches of the federal government, with exceptions for classified information.
",Freedom of Information Act,7/5/1967,12/31/2007
6 U.S.C § 701 to § 802,Post Katrina Emergency Management Reform Act,This act was enacted in response to Hurricane Katrina. The main actors are FEMA and state and local governments. It aims to improve response capabilities to major disasters and public emergencies.,Post Katrina Emergency Management Reform Act,10/4/2006,
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,1/3/2019,
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,2/9/2018,
42 U.S.C. § 5131 to § 5230,Disaster Recovery Reform Act,"This act involves all levels of government and FEMA, and aims to enhance disaster response. It addresses lacking aspects of previous response efforts.",Disaster Recovery Reform Act,10/5/2018,
39 U.S.C,"Consolidated Appropriations Act, 2019","The 2019 Consolidated Appropriations Act is a federal law that provides funding for various government agencies and programs for the fiscal year ending September 30, 2019. The primary actors are Congress and the President, and the bill was triggered by the need to allocate federal budget to prevent government shutdowns.","""Consolidated Appropriations Act, 2019""",2/15/2019,
6 U.S.C. §§ 101-1405,Homeland Security Act,"The Homeland Security Act consolidated various federal agencies into the Department of Homeland Security to protect the United States against terrorist attacks and other threats. Triggering events include threats or acts of terrorism (such as 9/11), natural disasters, and other emergencies. The act empowers DHS, amongst other agencies, to coordinate national security efforts, manage emergency response, and enhance border security. ",Homeland Security Act,11/25/2002,
