Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 5152,Sandy Recovery Improvement Act of 2013,"The Sandy Recovery Improvement Act (SRIA) of 2013 aimed to enhance disaster assistance procedures following Hurricane Sandy by reducing costs, increasing flexibility, and expediting aid. Key provisions included alternative procedures for the Public Assistance Program, expanded housing resources, and streamlined project reviews. Overall, the act represented a significant legislative update to FEMA's authorities, facilitating more efficient disaster recovery efforts.",Sandy Recovery Improvement Act of 2013,Federal Emergency Management Agency,"Natural Disaster,Health Emergency","This act can also be applied to health emergencies such as pandemics to mobilize resources.
",Yes,Domestic,Yes - Subject to Posse Comitatus,Legislation,Exclude,FEMA DOLR,3,1/29/2013,,PLAW-113publ2.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/JE9cj1oY2Mw8MneolVCYYw/dXgPyW5oL-RptArCtnHXxVU7CRvJ669SNrkaX7KO-GaJbRgYE4kKZ7WxcZ5D-Y5vCuzyUtpUegppd9peWXrC0Xvz9rok1C0Qqy1AdsPQq_1K9P-mfhpLiSlVPhHRqrg7kqhTUjJf5j5YKR4Ig_U1j6oKa-jSZYGK9gTAe63Wemo/tHL68d_UPS8NRSYzrhs0Qwnbc-zoagH0ksvTzWxC7TE),"Appropriations have expired or are likely to expire by now
",https://www.congress.gov/113/plaws/publ2/PLAW-113publ2.pdf,,,,,,
33 U.S.C. § 2701 to § 2762,Oil Pollution Act ,"The Oil Pollution Act of 1990 (OPA) established strict liability for responsible parties during oil spills and enhanced federal authority to prevent and respond to oil spills in U.S. waters. It created the Oil Spill Liability Trust Fund to cover cleanup costs and damages, while implementing stricter standards for maritime oil transportation and response preparedness. ",Oil Pollution Act ,"Department of Homeland Security - Coast Guard,Environmental Protection Agency",Natural Disaster,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/1/1990,12/29/2000,opa90.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/MfziaaKpMWl40LnP3twx6w/gVLpJX451iSv5umsT4JpYnF75O1h7NLujWyjVDVPLHeZl24ETUX3n16abf1K8oTOtuZUMB2ff5MWiPjL69R2AisJrYBQ-m5MfMZhfcdysfoWyekSJE6KDfL3RhVrCw9H4TEI5dHy7H1MDCoq_ElvJA/CY0qkOnBIXa6NOO6iqQIWOJ-1ywduWTwska_NCjdsVU),Programs and appropriations directly relating to Hurricane Sandy; not part of generalized policy framework,https://www.congress.gov/113/plaws/publ2/PLAW-113publ2.pdf,,,,,,
6 U.S.C. § 101 to § 1007,Homeland Security Act,"The Homeland Security Act established the Department of Homeland Security (DHS) as a new executive department to prevent terrorist attacks, reduce vulnerability to terrorism, and minimize damage from attacks. The act consolidated 22 diverse agencies and bureaus under the DHS umbrella, including agencies responsible for border security, immigration services, and emergency management. It also established specific responsibilities for information sharing among DHS entities, other federal agencies, state and local governments, and the private sector to enhance national security efforts",Homeland Security Act,"Department of Homeland Security,Federal Emergency Management Agency,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,Department of Homeland Security - Immigration and Customs Enforcement","Act of War,No triggering event - Capacity Building",N/A,No,Both,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,11/25/2002,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/eoYjiHmkCLYL5dhCKytDog/ArKpO34TXpweQfcDHggrIpndtBz0DiySW7dV2k-04xvG_-kEI_ex_EiXHHk1xhzSyPAa6BqIOYB3WUdaJKhjcNvYBgoNBf8nhNP6rIzdfjLVi9ikNw189Wm9kQ7xvx0F-dEgES_FHmInDZzEDQkE35X2IZsJs0klqVk-HqXpBk4/v_0nMGFi24PeyTqKRFGYGUmGXWZHlvs0IkEJL-g3z9E),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,,,,,,
5 U.S.C. § 552(b),Freedom of Information Act,"This act allows the public the right to access federal records. It promotes transparency. It applies to all branches of the federal government, with exceptions for classified information.
",Freedom of Information Act,Department of Justice,No triggering event - Capacity Building,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,7/5/1967,12/31/2007,foia-final.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/M4E1RvG9CI_lcyaK2RMTXw/8FYHfbu3cjN6WVdJ-_ssQtfKDi4gqd8_OM-R0MKTAEpIePYATYNdSJoQUTpLCjzMRBFuoEDhM61iA0QK8PkULr1t7-4q83Itv8jRh4kHTNIUox2gPrCFnve41-ukDrlThm4Ien1sH9AX01qkVj0oXnScSPmq2pL3lvBmEyz267Y/ymLqhKe7Q6-q-chN4S9C1s2Ox7gAJ2hluWFX1csn55M),"Relates to all agencies?
",https://www.justice.gov/sites/default/files/oip/legacy/2014/07/23/foia-final.pdf,,,,,,
6 U.S.C § 701 to § 802,Post Katrina Emergency Management Reform Act,This act was enacted in response to Hurricane Katrina. The main actors are FEMA and state and local governments. It aims to improve response capabilities to major disasters and public emergencies.,Post Katrina Emergency Management Reform Act,Federal Emergency Management Agency,"Natural Disaster,Health Emergency,No triggering event - Capacity Building","This act can also be applied to health emergencies such as pandemics to mobilize resources.
",No,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,10/4/2006,,Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ddZ54tmWdenX40xl7Cs4Ww/eXQj0ahf1scjdci-D4e2f_-qGkXpgH_eWESbczj-n0A0WskIbL_P8lyqVvzE65V-9vQZHuCt_eu0x32uws6-marK0UzXOHis65m8ihCdHwRSlSYwxHT-cgizy2tMui12sTVSyi3ptAPnS11msyeXK0JGAI2QXhSl5KbxCgrj2VOl_LR52rLAzamJHGLuI8l0gstjmtbP_KYWt96Gawln9A/qGVkXDny4cxE4hOb5TtYN5OWuNPvpCTH9175bn7GYSE),,https://www.doi.gov/sites/doi.gov/files/uploads/Post_Katrina_Emergency_Management_Reform_Act_pdf.pdf,,,,,,
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,"Federal Emergency Management Agency,Department of Homeland Security - Coast Guard,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,Department of Homeland Security - Customs and Border Protection,Department of Homeland Security - Transportation Security Administration","Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.

",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/3/2019,,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/yhp44Yot6HmEK7O1waEBuQ/m2vsdNwBC60b4BJkiBacWC07pPKJI_bnU8QhKdgocmnOxAYoLe6-lhDWGic1lqqPNbbW-yqLIHeirzQgKU3UGZgcBs10N4HBQAfTQEYLpC-Uu8S0nplxOTgTmlqru1NiS2ih99L_vSOEiQsARZuwtP82gwASA-_8iwFbV1EcfIs/SB5-eDcgj6b8Q7AKF_nMoANKYT83-59ubpoUTRjpyr8),*Heather could you take a look at code number for this one?,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,,,,,,
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,"Department of Agriculture,Food and Drug Administration,Department of Commerce,Department of Justice,Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Department of Homeland Security - Coast Guard,Department of the Interior,Department of Education,Department of Health and Human Services",No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/2018,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/spcAA8hkY12pP9IZOEoyeQ/nkWnJpTKFKgeb7Jy2Sd7ja6L1G3H7bSXDMqH4DUCVSQv7EC1ytEVzq4oHpORQE6BkuAEwli7zHRH-m7Bmy_z7S-dD3YOw_ltWmx8eZhy95wayBae6KPnyFribLK-xL8xGpe1E-AtEXzG0wZh-9FKFPWEUL9q-aCcKPMyPMfz7Z4/NbCvuoTqaYwSZTG0BMPlp43uufzPdcovyQxgdVQiBWQ),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,
42 U.S.C. § 5131 to § 5230,Disaster Recovery Reform Act,"This act involves all levels of government and FEMA, and aims to enhance disaster response. It addresses lacking aspects of previous response efforts.",Disaster Recovery Reform Act,Federal Emergency Management Agency,"Natural Disaster,Health Emergency,No triggering event - Capacity Building",An outbreak can mobilize the need for resources and assistance under this act.,No,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,3,10/5/2018,,STATUTE-132-Pg3186.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Z_l_DwIGPIFsX3tAkiH11g/7oHhHDc37U8q-w5iZ9mQFmVR4C1htxpS5T-nu20gHRwSGni6CccB3d73W8Wmt0-uySyWw3B__W59Xd4k9lJ672pV6dPEyP2FOGWk2OfCkK-cnLo9KoS0A08iVNe4Rw6PTfszDZ-UNb6f0Vv4rda2ImJPMzvqYNghSJpuR9QunS0/xfbiky154_botjagzBGk2uI-beqPh4bIX_Izt5hMuyI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,
39 U.S.C,"Consolidated Appropriations Act, 2019","The 2019 Consolidated Appropriations Act is a federal law that provides funding for various government agencies and programs for the fiscal year ending September 30, 2019. The primary actors are Congress and the President, and the bill was triggered by the need to allocate federal budget to prevent government shutdowns.","""Consolidated Appropriations Act, 2019""","Department of Homeland Security,Department of Agriculture,Department of Commerce,Department of Justice,Department of the Treasury,Department of the Interior,Environmental Protection Agency,Department of State,Department of Transportation,Department of Housing and Urban Development,Executive Office of the President of the United States",No triggering event - Capacity Building,N/A,No,Domestic,Unclear,Legislation,Exclude,FEMA DOLR,2,2/15/2019,,PLAW-116publ6.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/zlcB6c_B3UocH0sFMkwvTQ/LtnQYtudstPrlApK2HCyvbzxoWKLFFFXMaxz0Cl3pSQntVJIXFh5sUtWaptUe6vL9SW46TzQ8P5FyGVc_33zSDS6fmX_ap8TsOKxzzYJyFe8qaUGboyTWwWFAFcjEO8dU4X17pIDWcLiWe1mfABtqPupo9Azh_RsEGKx8K4iSR0/5dqoKxYvyNgOLqdvatGCitappNKHqAp1JZw2cRc9pjY),"Only for the 2019 Fiscal Year
(Couldn't locate specific USC, just under Title 39
",https://www.congress.gov/116/plaws/publ6/PLAW-116publ6.pdf,,,,,,
6 U.S.C. §§ 101-1405,Homeland Security Act,"The Homeland Security Act consolidated various federal agencies into the Department of Homeland Security to protect the United States against terrorist attacks and other threats. Triggering events include threats or acts of terrorism (such as 9/11), natural disasters, and other emergencies. The act empowers DHS, amongst other agencies, to coordinate national security efforts, manage emergency response, and enhance border security. ",Homeland Security Act,Department of Homeland Security,"Terrorism,Health Emergency","""With respect to civilian human health-related research and development activities relating to countermeasures for chemical, biological, radiological, and nuclear and
other emerging terrorist threats carried out by the Department of
Health and Human Services (including the Public Health Service),
the Secretary of Health and Human Services shall set priorities,
goals, objectives, and policies and develop a coordinated strategy
for such activities in collaboration with the Secretary of Homeland
Security to ensure consistency with the national policy and strategic plan developed pursuant to section 302(2)""",No,Domestic,Yes - Subject to Posse Comitatus,Legislation,Include,FEMA DOLR,2,11/25/2002,,hr_5005_enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/eoYjiHmkCLYL5dhCKytDog/ArKpO34TXpweQfcDHggrIpndtBz0DiySW7dV2k-04xvG_-kEI_ex_EiXHHk1xhzSyPAa6BqIOYB3WUdaJKhjcNvYBgoNBf8nhNP6rIzdfjLVi9ikNw189Wm9kQ7xvx0F-dEgES_FHmInDZzEDQkE35X2IZsJs0klqVk-HqXpBk4/v_0nMGFi24PeyTqKRFGYGUmGXWZHlvs0IkEJL-g3z9E),,https://www.dhs.gov/xlibrary/assets/hr_5005_enr.pdf,,,,,,
