Citation,Entity Empowered,Triggering Event,Location
National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,Both
Executive Order 12656,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
Presidential Memorandum on the Support for National Biodefense,"Broadly applies to any relevant federal agency,Environmental Protection Agency,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Decision Directive NSTC 7,"Broadly applies to any relevant federal agency,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5196,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 18.2,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 334,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Both
41 U.S.C. § 1710,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Declaration of War,Act of War",Domestic
41 U.S.C. § 3304,Broadly applies to any relevant federal agency,NEA Emergency Declaration,Both
5 C.F.R. § 230,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
42 U.SC. § 5131(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,Domestic
42 U.S.C. § 1532,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Communications Commission","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5134,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic
42 U.S.C. § 5141,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42. U.S.C. § 5149,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. §  5150,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 5151,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. §  5163,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration,No triggering event - Capacity Building",Domestic
42 U.S.C. §1570a(4),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 1570a(6),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5192,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Emergency Declarations,Domestic
42 U.S.C. § 5147,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5153,"Broadly applies to any relevant federal agency,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
42 U.S.C. § 5155,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 323 - Appendix 1,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency",No triggering event - Capacity Building,Domestic
42 U.S.C. § 1570b(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",Presidential Major Disaster Declaration,Domestic
2 C.F.R. § 200,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Both
2 C.F.R. § 215,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Domestic
2 C.F.R. § 3002,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Domestic
