Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,Both,Research and Development,Broadly applies to any relevant federal agency
Executive Order 12656,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Response Leadership,Mission Assignment/Response Coordination",Broadly applies to any relevant federal agency
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness,Communications",Broadly applies to any relevant federal agency
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Broadly applies to any relevant federal agency
Presidential Memorandum on the Support for National Biodefense,"Broadly applies to any relevant federal agency,Environmental Protection Agency,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Health Surveillance,Response Leadership,Military Readiness",Broadly applies to any relevant federal agency
Presidential Decision Directive NSTC 7,"Broadly applies to any relevant federal agency,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic,"Health Surveillance,Research and Development,Strategies and General Preparedness Efforts",Broadly applies to any relevant federal agency
42 U.S.C. § 5196,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Federal-State Coordination,Provision of Supplies",Broadly applies to any relevant federal agency
44 C.F.R. § 18.2,Broadly applies to any relevant federal agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,"Appropriations - Emergency Response,Government Contracts",Broadly applies to any relevant federal agency
44 C.F.R. § 334,Broadly applies to any relevant federal agency,No triggering event - Capacity Building,Both,Strategies and General Preparedness Efforts,Broadly applies to any relevant federal agency
41 U.S.C. § 1710,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Declaration of War,Act of War",Domestic,Government Contracts,Broadly applies to any relevant federal agency
41 U.S.C. § 3304,Broadly applies to any relevant federal agency,NEA Emergency Declaration,Both,"Government Contracts,Provision of Supplies",Broadly applies to any relevant federal agency
5 C.F.R. § 230,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic,Waiver,Broadly applies to any relevant federal agency
42 U.SC. § 5131(a),"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Emergency Management Agency",No triggering event - Capacity Building,Domestic,"Research and Development,Strategies and General Preparedness Efforts",Broadly applies to any relevant federal agency
42 U.S.C. § 1532,"Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States,Federal Communications Commission","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic,Communications,Broadly applies to any relevant federal agency
42 U.S.C. § 5134,"Federal Emergency Management Agency,Broadly applies to any relevant federal agency,POTUS or Executive Office of the President of the United States",No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Broadly applies to any relevant federal agency
