Citation,Entity Empowered,Triggering Event,Location
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Both
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,Both
Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,Domestic
Executive Order 13912,"Department of Health and Human Services,Department of Defense",Health Emergency,Domestic
Executive Order 13997,"Department of Health and Human Services,Department of Defense,Department of Veterans Affairs",Health Emergency,Domestic
Executive Order 13618,"Office of Science & Technology Policy,Department of Homeland Security,Department of Defense",No triggering event - Capacity Building,Domestic
Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,Domestic
Presidential Directive - 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-12431,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
National Security Decision Directive 189,"Department of Defense,National Science Foundation",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 21,"Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Homeland Security,Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Both
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 5,"Department of Homeland Security,Department of Defense,Department of Justice",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 8,"Department of Defense,Department of Homeland Security",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 10,"Department of Justice,Department of Defense,Department of Homeland Security,Department of State,Department of Health and Human Services,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Defense,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Directive 2020-19504,"Department of Defense,Department of Defense - Defense Health Agency",No triggering event - Capacity Building,Domestic
Presidential Directive 2023-28947,Department of Defense,Health Emergency,Domestic
Presidential Directive 2020-06476,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06989,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06987,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07453,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07801,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-08397,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-08643,"Department of Defense,Department of the Treasury,Department of State",Health Emergency,Domestic
10 U.S.C. § 2670,Department of Defense,No triggering event - Capacity Building,Both
10 U.S.C. § 2552,Department of Defense,No triggering event - Capacity Building,Both
10 U.S.C. § 2557(a)(1) ,"Department of Homeland Security,Department of Defense","Natural Disaster,Health Emergency,Potential Public Health Emergency",Both
10 U.S.C. § 2561 ,Department of Defense,Natural Disaster,Both
31 U.S.C. § 1301(a),"Department of Defense - Department of the Army,Department of the Treasury",No triggering event - Capacity Building,Domestic
10 U.S.C. § 12304b,Department of Defense,"Act of War,Terrorism,Declaration of War,Insurrection",Both
10 U.S.C. § 12304,"Department of Defense,Department of Homeland Security,Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","Terrorism,Act of War",Both
10 U.S.C. § 12304a,Department of Defense,Presidential Major Disaster Declaration,Domestic
10 U.S.C. § 12310,Department of Defense,No triggering event - Capacity Building,Both
48 C.F.R. § 18,"General Services Administration,Department of Defense,National Aeronautics and Space Administration","Terrorism,Act of War,Presidential Major Disaster Declaration,Presidential Emergency Declarations,NEA Emergency Declaration,Natural Disaster",Both
48 C.F.R. §§ 218,Department of Defense,"Terrorism,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Both
"Defense Federal Regulation Supplement - Procedures, Guidance, and Information ",Department of Defense,"Terrorism,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Both
5 C.F.R. § 2601.203-.204;,"Department of Defense,Department of Justice,Department of State,Department of Homeland Security,Department of the Treasury,Environmental Protection Agency,Department of Justice - Federal Bureau of Investigation,Department of Health and Human Services","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 312,"Federal Emergency Management Agency,Department of Defense","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
44 C.F.R. § 321,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,Both
44 C.F.R. § 323,"Federal Emergency Management Agency,Department of Defense","Act of War,Terrorism,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 327,"Federal Emergency Management Agency,Department of Defense",No triggering event - Capacity Building,Domestic
10 U.S.C. § 123,"Department of Homeland Security - Coast Guard,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 123a,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Both
10 U.S.C. § 527,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 194,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 155,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 603,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 620,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
