Citation,Entity Empowered,Triggering Event,Location
Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
Presidential Directive 2013-07926,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Decision Directive NSTC 7,"Broadly applies to any relevant federal agency,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
7 U.S.C. § 8319,"Department of Agriculture,Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Food and Drug Administration",No triggering event - Capacity Building,Both
42 U.S.C. 201 et seq.,"Department of Health and Human Services - Centers for Disease Control and Prevention,Administration for Strategic Preparedness and Response,Department of Health and Human Services","PHSA Emergency Declaration,NEA Emergency Declaration",Domestic
42 U.S.C. § 247d-4a,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–3a,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–3c ,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services - Centers for Medicare & Medicaid Services,Health Resources and Services Administration,Food and Drug Administration,Department of Health and Human Services - Substance Abuse and Mental Health Services Administration,Department of Labor,Department of Veterans Affairs",PHSA Emergency Declaration,Domestic
42 U.S. Code § 247d–6b,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Homeland Security",No triggering event - Capacity Building,Domestic
42 U.S.C. § 236,"Food and Drug Administration,Department of Health and Human Services - National Institutes of Health,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 242c,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Both
42 U.S. Code § 242u,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 245,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S. Code § 246,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b–6,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b–21,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247b–23,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S. Code § 247d–4b,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",PHSA Emergency Declaration,Domestic
42 U.S.C. § 256c,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-31,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-32,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-33,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-35,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 300hh-37,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention",No triggering event - Capacity Building,Domestic
42 U.S.C. § 247d-6b,"Department of Health and Human Services,Administration for Strategic Preparedness and Response,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Homeland Security",No triggering event - Capacity Building,Domestic
