Citation,Entity Empowered,Triggering Event,Location
Executive Order 13997,"Department of Health and Human Services,Department of Defense,Department of Veterans Affairs",Health Emergency,Domestic
Homeland Security Presidential Directive 10,"Department of Justice,Department of Defense,Department of Homeland Security,Department of State,Department of Health and Human Services,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
Presidential Directive 2020-08394,Department of Veterans Affairs,Health Emergency,Domestic
38 U.S.C. § 1721,Department of Veterans Affairs,Health Emergency,Domestic
38 U.S.C. § 8111A,"Department of Defense - Department of the Army,Department of Veterans Affairs","Act of War,Declaration of War,Presidential Major Disaster Declaration,Natural Disaster",Domestic
42 U.S. Code § 247d–3c ,"Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services - Centers for Medicare & Medicaid Services,Health Resources and Services Administration,Food and Drug Administration,Department of Health and Human Services - Substance Abuse and Mental Health Services Administration,Department of Labor,Department of Veterans Affairs",PHSA Emergency Declaration,Domestic
42 U.S. Code § 300hh–11,"Department of Health and Human Services,Department of Homeland Security,Department of Defense,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
38 U.S.C. § 1785,Department of Veterans Affairs,"PHSA Emergency Declaration,Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
38 C.F.R. § 17.51,Department of Veterans Affairs,Health Emergency,Domestic
38 C.F.R. § 17.230,Department of Veterans Affairs,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,Act of War,Declaration of War",Domestic
