Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness,Response Leadership",Department of Agriculture
"Executive Order 11,988, Floodplain Management","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Department of Agriculture
Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Both,Strategies and General Preparedness Efforts,Department of Agriculture
Executive Order 13941,"Department of Health and Human Services,Department of Agriculture,Federal Communications Commission,Executive Office of the President of the United States - Office of Management and Budget",Health Emergency,Domestic,"Provision of Medical Care,Communications",Department of Agriculture
Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Department of Agriculture
Homeland Security Presidential Directive 9,"Department of Homeland Security,Department of Agriculture",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Health Surveillance",Department of Agriculture
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness,Communications",Department of Agriculture
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic,"Communications,Strategies and General Preparedness Efforts,Military Readiness",Department of Agriculture
7 U.S.C. § 8401,Department of Agriculture,No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Health Surveillance",Department of Agriculture
7 U.S.C. §§ 8351–8353,Department of Agriculture,No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Grant Programs or Appropriations (not to states)",Department of Agriculture
7 U.S.C. § 8303,Department of Agriculture,Potential Public Health Emergency,Both,Regulations on Interstate or Foreign Commerce,Department of Agriculture
7 U.S.C. § 8304,Department of Agriculture,Potential Public Health Emergency,Both,Regulations on Interstate or Foreign Commerce,Department of Agriculture
7 U.S.C. § 8305,Department of Agriculture,Potential Public Health Emergency,Domestic,Regulations on Interstate or Foreign Commerce,Department of Agriculture
7 U.S.C. § 8306,Department of Agriculture,Potential Public Health Emergency,Domestic,Quarantine,Department of Agriculture
7 U.S.C. § 8308,Department of Agriculture,Potential Public Health Emergency,Domestic,Health Surveillance,Department of Agriculture
7 U.S.C. § 8310,Department of Agriculture,Potential Public Health Emergency,Both,"Health Surveillance,Federal-State Coordination",Department of Agriculture
7 U.S.C. § 8315,Department of Agriculture,No triggering event - Capacity Building,Both,Health and Safety Regulations,Department of Agriculture
7 U.S.C. § 8316,Department of Agriculture,Potential Public Health Emergency,Both,Appropriations - Emergency Response,Department of Agriculture
7 U.S.C. § 8319,"Department of Agriculture,Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Food and Drug Administration",No triggering event - Capacity Building,Both,"Health Surveillance,Response Leadership",Department of Agriculture
7 U.S.C. § 8320,Department of Agriculture,No triggering event - Capacity Building,Both,"Strategies and General Preparedness Efforts,Regulations on Interstate or Foreign Commerce",Department of Agriculture
7 U.S.C. § 8321,Department of Agriculture,No triggering event - Capacity Building,Both,"Research and Development,Grant Programs or Appropriations (not to states)",Department of Agriculture
9 C.F.R. §§ 49–56,Department of Agriculture,No triggering event - Capacity Building,Both,"Regulations on Interstate or Foreign Commerce,Quarantine",Department of Agriculture
9 C.F.R. §§ 301–381,Department of Agriculture,No triggering event - Capacity Building,Both,"Health and Safety Regulations,Health Surveillance",Department of Agriculture
9 C.F.R. §§ 70–166,Department of Agriculture,No triggering event - Capacity Building,Both,Regulations on Interstate or Foreign Commerce,Department of Agriculture
