Citation,Entity Empowered,Triggering Event,Location
10 U.S.C. § 123,"Department of Homeland Security - Coast Guard,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 123a,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Both
10 U.S.C. § 527,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 194,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 155,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 603,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 620,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 688,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 690,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic
10 U.S.C. § 708,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Domestic
10 U.S.C. § 712,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",International
10 U.S.C. § 857,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 1060c,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 2350j,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 2632,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 2808,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 7014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Declaration of War,Act of War",Domestic
10 U.S.C. § 8014,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 8102,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 8624,"Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 12006,"Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
33 U.S.C. § 3061,"Department of Commerce - National Oceanic and Atmospheric Administration,Department of Defense - Department of the Navy,POTUS or Executive Office of the President of the United States","Natural Disaster,Act of War,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Both
"50 U.S.C. §§ 403, 405.","Central Intelligence Agency,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,National Security Resources Board,Executive Office of the President of the United States - National Security Council",No triggering event - Capacity Building,Both
