Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
42 U.S. Code § 248,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,No triggering event - Capacity Building,Domestic,"Movement of Patients,Movement of Medical Personnel,Government Contracts,Provision of Medical Care,Provision of Supplies",Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 216,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,"""Troop, Uniformed Service, or National Guard Deployment""",Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 231,"Department of Health and Human Services,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General",No triggering event - Capacity Building,Domestic,Provision of Supplies,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 249,"Department of Health and Human Services,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General",No triggering event - Capacity Building,Domestic,"Quarantine,Provision of Medical Care",Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 264,"Department of Health and Human Services,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General",Potential Public Health Emergency,Both,"Quarantine,Regulations on Interstate or Foreign Commerce",Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 265,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Health and Human Services",Potential Public Health Emergency,Both,Regulations on Interstate or Foreign Commerce,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 266,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Health and Human Services","Act of War,Declaration of War,Potential Public Health Emergency",Both,Quarantine,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 267,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Potential Public Health Emergency,Domestic,"Quarantine,Provision of Medical Care",Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 268,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Homeland Security - Coast Guard,Department of Homeland Security - Customs and Border Protection",No triggering event - Capacity Building,Both,"Regulations on Interstate or Foreign Commerce,Quarantine",Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. §269,"Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Department of Homeland Security - Customs and Border Protection",No triggering event - Capacity Building,Both,Quarantine,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
42 U.S.C. § 270,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General,Potential Public Health Emergency,Both,Quarantine,Department of Health and Human Services - Office of the Assistant Secretary for Health - Surgeon General
