Citation,Entity Empowered,Triggering Event,Location
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Both
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
Executive Order 13911,"Department of Health and Human Services,Department of Homeland Security",Health Emergency,Domestic
Executive Order 13912,"Department of Health and Human Services,Department of Defense",Health Emergency,Domestic
Executive Order 13941,"Department of Health and Human Services,Department of Agriculture,Federal Communications Commission,Executive Office of the President of the United States - Office of Management and Budget",Health Emergency,Domestic
Executive Order 13944,Department of Health and Human Services,Health Emergency,Domestic
Executive Order 13962,Department of Health and Human Services,Health Emergency,Both
Executive Order 13997,"Department of Health and Human Services,Department of Defense,Department of Veterans Affairs",Health Emergency,Domestic
Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13909,Department of Health and Human Services,Health Emergency,Domestic
Executive Order 13910,"Department of Health and Human Services,Department of Justice",Health Emergency,Domestic
Executive Order 13911,"Department of Homeland Security,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-12431,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Homeland Security Presidential Directive 21,"Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Homeland Security,Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Both
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
Presidential Directive 2013-07926,"Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Directive 2011-14236,"Department of Health and Human Services - Public Health Service,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 10,"Department of Justice,Department of Defense,Department of Homeland Security,Department of State,Department of Health and Human Services,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Defense,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Memorandum on the Support for National Biodefense,"Broadly applies to any relevant federal agency,Environmental Protection Agency,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Decision Directive NSTC 7,"Broadly applies to any relevant federal agency,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
42 U.S.C. § 1395hh,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 U.S.C. § 1395rr,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
Presidential Directive 2022-07756,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
Presidential Directive 2020-05580,"Department of Labor,Department of Health and Human Services",Health Emergency,Domestic
7 U.S.C. § 8319,"Department of Agriculture,Department of Health and Human Services,Department of Health and Human Services - Centers for Disease Control and Prevention,Food and Drug Administration",No triggering event - Capacity Building,Both
42 C.F.R. §§ 457.1000-457.1015,"Department of Health and Human Services,Department of Health and Human Services - Centers for Medicare & Medicaid Services",No triggering event - Capacity Building,Domestic
42 C.F.R. § 482,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
31 U.S.C. § 1111; 503; 41 U.S.C. § 405,"Department of the Interior,Department of Health and Human Services,Executive Office of the President of the United States - Office of Management and Budget",No triggering event - Capacity Building,Domestic
SMG 1401.1,"Food and Drug Administration,Department of Health and Human Services",Health Emergency,Domestic
6 U.S.C § 101 et seq. ,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
5 C.F.R. § 2601.203-.204;,"Department of Defense,Department of Justice,Department of State,Department of Homeland Security,Department of the Treasury,Environmental Protection Agency,Department of Justice - Federal Bureau of Investigation,Department of Health and Human Services","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 C.F.R.§ 489.24,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Domestic
42 C.F.R. § 512.294,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration",Domestic
52 C.F.R. § 510.305,"Department of Health and Human Services - Centers for Medicare & Medicaid Services,Department of Health and Human Services","Health Emergency,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
42 U.S.C. § 1395dd (a),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (b)(1),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (c)(1),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (b)(3),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (c)(2),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (f),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 U.S.C. § 1395dd (h),Department of Health and Human Services,Hospital Receives Federal Funding,Domestic
42 C.F.R. §§ 300-370,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. §§ 510–512,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 U.S.C. § 17903,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. §§ 441–460,Department of Health and Human Services,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. § 38,Department of Health and Human Services,"Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
42 C.F.R. § 403.748,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
42 C.F.R. §§ 410–418,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. § 422,Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
42 C.F.R. §§ 422.100(m),Department of Health and Human Services,"Presidential Emergency Declarations,Presidential Major Disaster Declaration,PHSA Emergency Declaration,Governor or Protectorate Emergency Declaration",Domestic
"42 CFR §§ 400, 405, 409, 410, 412, 414, 415, 417, 418, 421, 422, 423, 425, 440, 482, and 510",Department of Health and Human Services,PHSA Emergency Declaration,Domestic
42 U.S.C. § 204,"Department of Health and Human Services - Public Health Service,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,PHSA Emergency Declaration",Domestic
