Citation,Entity Empowered,Triggering Event,Location
Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building",Domestic
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13228,Department of Homeland Security,No triggering event - Capacity Building,Domestic
Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Both
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,Both
Executive Order 13911,"Department of Health and Human Services,Department of Homeland Security",Health Emergency,Domestic
Executive Order 13618,"Office of Science & Technology Policy,Department of Homeland Security,Department of Defense",No triggering event - Capacity Building,Domestic
Executive Order 13286,Department of Homeland Security,No triggering event - Capacity Building,Domestic
Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,Domestic
Executive Order 13911,"Department of Homeland Security,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-12431,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Homeland Security Presidential Directive 18,"Department of Homeland Security,Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Both
Homeland Security Presidential Directive 9,"Department of Homeland Security,Department of Agriculture",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 5,"Department of Homeland Security,Department of Defense,Department of Justice",No triggering event - Capacity Building,Domestic
National Security Presidential Directive 17,"Department of Homeland Security,International Atomic Energy Agency,Department of State",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 8,"Department of Defense,Department of Homeland Security",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,"Department of Homeland Security,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Defense,Broadly applies to any relevant federal agency,Department of Health and Human Services - National Institutes of Health",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 10,"Department of Justice,Department of Defense,Department of Homeland Security,Department of State,Department of Health and Human Services,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Defense,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Directive 2020-06476,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06989,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06987,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07453,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07801,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-08397,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
49 U.S.C. § 44905(b),"Department of Homeland Security - Transportation Security Administration,Department of Homeland Security","Natural Disaster,Health Emergency,Terrorism,Act of War,Potential Public Health Emergency",Domestic
10 U.S.C. § 2557(a)(1) ,"Department of Homeland Security,Department of Defense","Natural Disaster,Health Emergency,Potential Public Health Emergency",Both
7 U.S.C. § 8901; 8912,Department of Homeland Security,No triggering event - Capacity Building,Domestic
