Citation,Entity Empowered,Triggering Event,Location
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,Domestic
Executive Order 13910,"Department of Health and Human Services,Department of Justice",Health Emergency,Domestic
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 5,"Department of Homeland Security,Department of Defense,Department of Justice",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 10,"Department of Justice,Department of Defense,Department of Homeland Security,Department of State,Department of Health and Human Services,Department of Veterans Affairs",No triggering event - Capacity Building,Domestic
18 U.S.C. § 2332a,"Department of Justice,Department of Justice - Federal Bureau of Investigation","Terrorism,Act of War",Both
34 U.S.C. §§ 50101–50112,"Department of Justice,Department of Justice - Bureau of Justice Assistance",Law enforcement emergency,Domestic
5 C.F.R. § 2601.203-.204;,"Department of Defense,Department of Justice,Department of State,Department of Homeland Security,Department of the Treasury,Environmental Protection Agency,Department of Justice - Federal Bureau of Investigation,Department of Health and Human Services","Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
28 C.F.R. § 549,"Department of Justice,Department of Justice - Bureau of Prisons",No triggering event - Capacity Building,Domestic
18 U.S.C. § 793,"Department of Justice - Federal Bureau of Investigation,Department of Justice","NEA Emergency Declaration,Act of War,Declaration of War",Both
18 U.S.C. § 2153,Department of Justice - Federal Bureau of Investigation,"NEA Emergency Declaration,Act of War,Declaration of War",Both
18 U.S.C. § 2154,Department of Justice - Federal Bureau of Investigation,"NEA Emergency Declaration,Act of War,Declaration of War",Both
21 U.S.C. § 802,"Department of Justice - Drug Enforcement Administration,Department of Health and Human Services",PHSA Emergency Declaration,Domestic
42 U.S.C. §§ 250-250a,"Department of Health and Human Services,Department of Justice",No triggering event - Capacity Building,Domestic
