Citation,Entity Empowered,Triggering Event,Location
Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building",Domestic
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
"Executive Order 11,988, Floodplain Management","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,Domestic
Executive Order 12127,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,Domestic
Presidential Directive - 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-12431,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 02-33047,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
Presidential Directive 2022-04778,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
Presidential Directive 2020-06476,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06989,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-06987,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07453,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-07801,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
Presidential Directive 2020-08397,"Department of Defense,Department of Homeland Security,Federal Emergency Management Agency",Health Emergency,Domestic
42 U.S.C. § 5197(d),"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,Domestic
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205","Federal Emergency Management Agency,Department of Homeland Security,Department of Housing and Urban Development,Environmental Protection Agency",No triggering event - Capacity Building,Domestic
6 U.S.C § 101 et seq. ,"Department of Homeland Security,Federal Emergency Management Agency,Department of Transportation,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
47 C.F.R. § 11.54,Federal Emergency Management Agency,"Presidential Emergency Declarations,Presidential Major Disaster Declaration",Both
6 U.S.C. § 313,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. §§ 350-354,Federal Emergency Management Agency,No triggering event - Capacity Building,Both
44 C.F.R. § 360,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 333,Federal Emergency Management Agency,No triggering event - Capacity Building,Both
44 C.F.R. § 332,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 331,Federal Emergency Management Agency,No triggering event - Capacity Building,Both
44 C.F.R. § 302,Federal Emergency Management Agency,"No triggering event - Capacity Building,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 300,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 304,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. § 312,"Federal Emergency Management Agency,Department of Defense","Presidential Major Disaster Declaration,Presidential Emergency Declarations",Domestic
44 C.F.R. § 321,"Department of Defense,Department of Energy,Federal Emergency Management Agency,Department of Transportation - Maritime Administration",No triggering event - Capacity Building,Both
44 C.F.R. § 323,"Federal Emergency Management Agency,Department of Defense","Act of War,Terrorism,Presidential Major Disaster Declaration",Domestic
44 C.F.R. § 327,"Federal Emergency Management Agency,Department of Defense",No triggering event - Capacity Building,Domestic
44 C.F.R. § 361,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
44 C.F.R. Part 204,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
42 U.S.C. 5170a,"Federal Emergency Management Agency,Department of Homeland Security",Presidential Major Disaster Declaration,Domestic
