Citation,Entity Empowered,Triggering Event,Location,Powers Invoked,Specific Agency
Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building",Domestic,"Mission Assignment/Response Coordination,Response Leadership,Strategies and General Preparedness Efforts",Federal Emergency Management Agency
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness,Response Leadership",Federal Emergency Management Agency
"Executive Order 11,988, Floodplain Management","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,Domestic,Strategies and General Preparedness Efforts,Federal Emergency Management Agency
Executive Order 12127,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic,"Strategies and General Preparedness Efforts,Military Readiness",Federal Emergency Management Agency
Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,Domestic,Mission Assignment/Response Coordination,Federal Emergency Management Agency
Presidential Directive - 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
Presidential Directive - 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment""",Federal Emergency Management Agency
Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic,"""Troop, Uniformed Service, or National Guard Deployment"",Appropriations - Emergency Response",Federal Emergency Management Agency
