Citation,Entity Empowered,Triggering Event,Location
Executive Order 13987,POTUS or Executive Office of the President of the United States,Health Emergency,Domestic
10 U.S.C. § 12304,"Department of Defense,Department of Homeland Security,Department of Homeland Security - Coast Guard,POTUS or Executive Office of the President of the United States","Terrorism,Act of War",Both
50 U.S.C. § 4501 et seq,POTUS or Executive Office of the President of the United States,"Act of War,Health Emergency,Natural Disaster,Presidential Major Disaster Declaration,NEA Emergency Declaration,Terrorism",Domestic
10 U.S.C. §§ 251–255,POTUS or Executive Office of the President of the United States,Insurrection,Domestic
50 U.S.C. §1601-1651,POTUS or Executive Office of the President of the United States,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building",Domestic
10 U.S.C. § 123,"Department of Homeland Security - Coast Guard,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
10 U.S.C. § 123a,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Both
10 U.S.C. § 527,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 194,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","Act of War,Declaration of War,NEA Emergency Declaration",Domestic
10 U.S.C. § 155,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 603,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,POTUS or Executive Office of the President of the United States","Act of War,NEA Emergency Declaration,Declaration of War",Both
10 U.S.C. § 620,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Domestic
10 U.S.C. § 688,"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,POTUS or Executive Office of the President of the United States","NEA Emergency Declaration,Act of War,Declaration of War",Both
