Entity Empowered,Citation,Document Type,Location,Triggering Event
"Department of Homeland Security - Coast Guard,Environmental Protection Agency",33 U.S.C. § 2701 to § 2762,Legislation,Domestic,Natural Disaster
"Federal Emergency Management Agency,Department of Homeland Security - Coast Guard,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,Department of Homeland Security - Customs and Border Protection,Department of Homeland Security - Transportation Security Administration", H.R. 4367,Legislation,Domestic,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building"
"Department of Agriculture,Food and Drug Administration,Department of Commerce,Department of Justice,Department of Defense,Department of Defense - Department of the Army,Department of Homeland Security,Department of Homeland Security - Coast Guard,Department of the Interior,Department of Education,Department of Health and Human Services",2 U.S.C. § 900,Legislation,Domestic,No triggering event - Capacity Building
"Department of Homeland Security - Coast Guard,Department of Homeland Security - Customs and Border Protection,Department of Transportation - Maritime Administration,Federal Maritime Commission,Department of Justice",46 U.S.C. § 55101 - 55121,Legislation,Domestic,No triggering event - Capacity Building
"Environmental Protection Agency,Department of Homeland Security - Coast Guard,Federal Emergency Management Agency,Department of Transportation",40 C.F.R. Part 300,Regulation,Domestic,No triggering event - Capacity Building
"Department of Homeland Security - Coast Guard,Department of Defense - Department of the Army,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States",10 U.S.C. § 123,Legislation,Both,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building,Presidential Emergency Declarations,Terrorism"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States",10 U.S.C. § 123a,Legislation,Both,"Act of War,Presidential Emergency Declarations"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States",10 U.S.C. § 155,Legislation,Domestic,"Act of War,Natural Disaster,Health Emergency,Presidential Emergency Declarations,Terrorism"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 194,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States",10 U.S.C. § 527,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Executive Office of the President of the United States",10 U.S.C. § 603,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 620,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism,Health Emergency"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 688,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism,Health Emergency"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 690,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism,Health Emergency"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 708,Legislation,Domestic,"Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 712,Legislation,Both,"Act of War,Presidential Emergency Declarations,Terrorism,Health Emergency"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 857,Legislation,Domestic,"Act of War,Presidential Emergency Declarations"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 1060c,Legislation,Domestic,"Presidential Emergency Declarations,Natural Disaster,Act of War"
"Department of Defense - Department of the Army,Department of Homeland Security - Coast Guard,Department of Defense - Department of the Navy,Department of Defense - Department of the Air Force,Department of Defense,Executive Office of the President of the United States",10 U.S.C. § 2350j,Legislation,Both,"Act of War,Terrorism,Presidential Emergency Declarations"
"Department of Homeland Security - Coast Guard,Executive Office of the President of the United States",14 U.S.C. § 104,Legislation,Domestic,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Homeland Security - Coast Guard,Executive Office of the President of the United States",14 U.S.C. § 932,Legislation,Domestic,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Homeland Security - Coast Guard,Executive Office of the President of the United States",14 U.S.C. § 2125,Legislation,Domestic,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Homeland Security - Coast Guard,Executive Office of the President of the United States",14 U.S.C. § 2127,Legislation,Domestic,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism"
"Department of Homeland Security - Coast Guard,Executive Office of the President of the United States",14 U.S.C. § 2308,Legislation,Domestic,"Natural Disaster,Act of War,Presidential Emergency Declarations,Terrorism"
