Citation,Entity Empowered,Triggering Event,Location
Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building",Domestic
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
"Executive Order 11,988, Floodplain Management","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,Domestic
Executive Order 12127,Federal Emergency Management Agency,No triggering event - Capacity Building,Domestic
Executive Order 13228,Department of Homeland Security,No triggering event - Capacity Building,Domestic
Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,Both
Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 2,Department of Health and Human Services,No triggering event - Capacity Building,Domestic
National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,Both
Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,Domestic
Executive Order 13911,"Department of Health and Human Services,Department of Homeland Security",Health Emergency,Domestic
Executive Order 13912,"Department of Health and Human Services,Department of Defense",Health Emergency,Domestic
Executive Order 13941,"Department of Health and Human Services,Department of Agriculture,Federal Communications Commission,Executive Office of the President of the United States - Office of Management and Budget",Health Emergency,Domestic
Executive Order 13944,Department of Health and Human Services,Health Emergency,Domestic
Executive Order 13962,Department of Health and Human Services,Health Emergency,Both
Executive Order 13997,"Department of Health and Human Services,Department of Defense,Department of Veterans Affairs",Health Emergency,Domestic
Executive Order 13618,"Office of Science & Technology Policy,Department of Homeland Security,Department of Defense",No triggering event - Capacity Building,Domestic
Executive Order 13286,Department of Homeland Security,No triggering event - Capacity Building,Domestic
Executive Order 12656,Broadly applies to any relevant federal agency,"NEA Emergency Declaration,Presidential Emergency Declarations,Presidential Major Disaster Declaration",Domestic
Executive Order 13546,"Department of Agriculture,Department of Health and Human Services - Centers for Disease Control and Prevention,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Executive Order 13618,"Department of State,Department of Defense,Department of Justice,Department of Commerce,Department of Homeland Security,Federal Communications Commission,General Services Administration",No triggering event - Capacity Building,Domestic
Executive Order 13909,Department of Health and Human Services,Health Emergency,Domestic
Executive Order 13910,"Department of Health and Human Services,Department of Justice",Health Emergency,Domestic
Executive Order 13911,"Department of Homeland Security,Department of Health and Human Services",Health Emergency,Domestic
Executive Order 13987,POTUS or Executive Office of the President of the United States,Health Emergency,Domestic
Presidential Directive - 2020-17386,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17371,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17370,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17788,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17786,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-17784,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-19599,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive - 2020-08958,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-09540,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-10437,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-11427,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
Presidential Directive 2020-12431,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,Domestic
National Security Decision Directive 189,"Department of Defense,National Science Foundation",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 21,"Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 18,"Department of Homeland Security,Department of Defense,Department of Health and Human Services",No triggering event - Capacity Building,Both
Homeland Security Presidential Directive 9,"Department of Homeland Security,Department of Agriculture",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 7,"Department of Homeland Security,Department of Justice,Broadly applies to any relevant federal agency,Department of Agriculture,Environmental Protection Agency,Department of Energy,Department of the Treasury,Department of the Interior,Department of Defense,Department of Commerce,Department of Transportation,Department of Health and Human Services,Department of State",No triggering event - Capacity Building,Domestic
Homeland Security Presidential Directive 5,"Department of Homeland Security,Department of Defense,Department of Justice",No triggering event - Capacity Building,Domestic
National Security Presidential Directive 17,"Department of Homeland Security,International Atomic Energy Agency,Department of State",No triggering event - Capacity Building,Domestic
Presidential Policy Directive 21,"Department of Homeland Security,Department of State,Department of Justice,Department of Defense,Department of the Interior,Department of Commerce,Department of Energy,Department of the Treasury,Department of Agriculture,Department of Transportation,Environmental Protection Agency,Department of Health and Human Services,General Services Administration",No triggering event - Capacity Building,Domestic
