Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
Homeland Security Presidential Directive 5,,"This directive was issued to improve response to domestic incidents by establishing a management system. The main actor is the DHS. It acts to ensure effective response to various types of emergencies in the US.
",Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building","The national incident management system established by this act may be used in the event of a public health emergency to coordinate a comprehensive response between agencies.
","Mission Assignment/Response Coordination,Response Leadership,Strategies and General Preparedness Efforts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,FEMA DOLR,4,2/28/2003,,PPP-2003-book1-doc-pg229.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ARp6zKVHn2fsA-O9NL39yQ/ph5JNbwoTNs_gh7ZjjFSZvqrmtAqU-62JH2DTkLMRGyQsP24Ri4Ci0gI_K7K76_szNMSmpqjGEttM9BKjRsXEqJ_NOJZucfXq1YZi4IfSsvQ10eljalaoZNam3HPxt3bGvnEdvnmbtCzyoEBFICt8wWOm86pvIt1vCa6G_nOZhL7TfcCTg5u3waz8mAEr4wX/PoI-dSi_vK4FEsPQb85WUKFI6q1bHR6L0sBFDBXZJ00),,https://www.govinfo.gov/content/pkg/PPP-2003-book1/pdf/PPP-2003-book1-doc-pg229.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Presidential Policy Directive 8,,"This directive strengthens the US security system against terrorism, health crises, natural disasters, and cybersecurity threats. Major agencies include DHS, HHS, and DOD, along with others that work to provide mitigation strategies. ",Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,The directive is a prophylactic measure aimed at preventing future health crises and emergencies. ,"Strategies and General Preparedness Efforts,Military Readiness,Response Leadership",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,FEMA DOLR,4,3/30/2011,,presidential-policy-directive-8-national-preparedness.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/nvdvPTjthjSSp_xbH72ybA/HiPRhOL2kW5bMphKD_VnTwR56FBKaOdZO6ct4FeeVBNd2lYOnU5CA0J5arnppzmBo_j2f8ueW1mhSe_rmWRFHukYAHQFCTFeDPbdwj-02yCE_m1GsDFRK08GBhxUlYZEPowWnqb6lPRGL1VLZKf4KdpfpTyKAnxcKaEIZTWRiKLFTMqkvcdWZPtSZLzrWKiH_UctBJ-LUuFtYgGUbyxgfQ/5gP-wmGmYwqSkNF3N0rB9qu_prUSWk_iUeqxXGjHgfo),,https://www.dhs.gov/xlibrary/assets/presidential-policy-directive-8-national-preparedness.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
"Executive Order 11,988, Floodplain Management",,"This order requires federal agencies to minimize flood impacts on human welfare. They must evaluate effects of actions in floodplains, consider flood hazards, and provide a public review of plans. ","""Executive Order 11,988, Floodplain Management""","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,"This directive is meant to be used to coordinate and implement: ""the actions taken to plan, organize, equip, train, and exercise to build and sustain the capabilities necessary to prevent, protect against, mitigate the effects of, respond to, and recover from those threats that pose the greatest risk to the security of the Nation.""",Strategies and General Preparedness Efforts,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,FEMA DOLR,5,5/27/1994,,final_e.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/9LQCLMEbksNcDfgVaGwNfA/Cg2dVLqhAOiSPl4k4R-mRqZu_5ao3EzBwniDA7o_jpCcDS2CIcL-EDwjSn0vNGDZyu7KSfaf_v8bYpKbUch-F0SBctg6duRXaktmjXl0DqMDH8n-_KRcyN6e_ZyJHCw9ZvnKq94AEREjGHEmSa7idA/DDQBu7g8L2z7CRxLgVSEXGIees9EFNkUZUAmdM1IiiU),,https://www.fema.gov/pdf/plan/ehp/final_e.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 12127,,"This executive order creates the Federal Emergency Management Agency (FEMA), consolidating disparate federal emergency management and response entities under a single agency. The order transfers functions from other departments into FEMA and outlines the roles and responsibilities of the new agency. ",Executive Order 12127,Federal Emergency Management Agency,No triggering event - Capacity Building,N/A,Mission Assignment/Response Coordination,Not applicable,Domestic,No,Executive Order,Include,Executive Order,,3/31/1979,3/31/1979,19367-19368.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/abX5-t0zCtpNnl9ceVCrxQ/qNLdGkxbMdDf9VnPKKJzy-vLlI4fqp8JiAmcnwFIn44cxtc6D7aAZ00MZtVpGdK_tUHMAn2RCNu9V1IXxpPGQC2c2SATQxsQhhRqt0RS2rCgk3pt1VFMfPbEJwPW_Ce39FLoXZMpi-jHG-NI42RA4gb0lBLYxFETr9R5MKSqlnQ/WrnS0UIoAey7SAU0Bmd1yI_0DIpCWDzTYIg_cmmOJdA),,https://archives.federalregister.gov/issue_slice/1979/4/3/19367-19368.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13228,,"This EO creates the Office of Homeland Security (OHS) and the Homeland Security Council (HSC) to enhance national security coordination. The order states that the function of OHS will be to coordinate executive branch efforts to holistically prepare for and respond to terrorist threats and facilitate cooperation with other agencies and subnational jurisdictions. Additionally, this order states that, in the event of terrorist attacks, the Director of OHS will be the primary coordinator for domestic response efforts.  ",Executive Order 13228,Department of Homeland Security,No triggering event - Capacity Building,"N/A
","Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,10/8/2001,10/8/2001,WCPD-2001-10-15-Pg1434.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/_y8rwDWakD5j3Vqju37_lw/YPN8Roo5_g4dqUKdPO5sMmKA8bdVIBDjx4s-HPDX49FZSUmSixUiXnBc_z6-mkAThJddGweAsha1KR0Zo0aw9mKhCQEQFzHsR03ST-mlAYWrg0Z3uHHVub0cAQogH70smTDOQMVlVyW7FACJAOeyFiHdFfb3e37gm1A8EeReuEMQoaS5VOAJjWGRQaO-m7Sf/8fXPbGl6XR6N7rm6Z3qqryAAAhUUjKzGdXmcF05-OOw),,https://www.govinfo.gov/content/pkg/WCPD-2001-10-15/pdf/WCPD-2001-10-15-Pg1434.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13527,,"This EO was created to bolster the US defense to biological attack. The order established requirements to plan and prepare for provision of medical countermeasures (MCMs) to the American citizens in the event of a biological attack. The order requires interagency coordination, cooperation through levels of governance and planning for continuity of operations. Finally, the document mandates the development of a federal rapid response mechanism to dispense MCMs following a deliberate biological event.  ",Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,"N/A
","Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,12/30/2009,12/30/2009,2010-38.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/OSI-jpXxc8L4KYfqRaFclA/F3EuPeQowBzoeOioGp2S0WhddrxF6rTv6hIdeokcJsXSpxSWiyIJW-pB0I3GvLDe5SDsJ_V-PmIOay-BnhrUmCF323WYGbr-OL3hPBwGr5et1w6ReqByyJ_b1w0tEf8DB3G944DAWobjO4U7_qtHKyjfxrSTuUHUVySVrcbaZ7Q/W-13Qw5BH1e79_ljYzrVWpRCvi_rDK5VsRczYZfyb3A),,https://www.govinfo.gov/content/pkg/FR-2010-01-06/pdf/2010-38.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13747,,"This EO establishes the Global Health Security Agenda (GHSA) as a central initiative to the United States' mission of enhancing global capacity to prevent, detect and respond to infectious disease threats. The order states that the Department of Health and Human Services (HHS) will coordinate US governmental efforts to implement GHSA, establishes an interagency review council for policy guidance and coordination and requires an annual report be submitted by the council to the President. The order emphasizes the importance of interagency, multi-sectoral and international collaborations. ",Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,N/A,Strategies and General Preparedness Efforts,Not applicable,Both,Yes,Executive Order,Include,Executive Order,,11/4/2016,11/4/2016,DCPD-201600752.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/Z4x6xMjot55mVRvs8KFikQ/TGysaSaz2Y5dDnb6gsznel-d7TLGWA_77miWIwhh3OlOdGb9A9bs5V2BpJotwO4_rxuvXbr7Cvnrf7eGaMWDPjSGxo9IEh1KNz89u9V1_QImZvDbn-Q5J8_2WAb7PcpfJ9UuE3KgUiJONo9PUnoHR7RIE6JRQNNY2ZIL7Lget_o/SqgKlZJZ7g8u95FQrY6xjFmFlVq3W_r3Iy57hpTATXI),,https://www.govinfo.gov/content/pkg/DCPD-201600752/pdf/DCPD-201600752.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Presidential Policy Directive 8,,"This PPD broadly directs the government to strengthen security measures across a litany of threats, including public health threats. The directive mandates the development of a national preparedness goal to secure the nation and establishes a National Preparedness System to build the capacity required for achievement of the national preparedness goal. All information regarding progress and system capacity will be included in an annual National Preparedness Report. ",Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,N/A,"Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Presidential Directive,Include,Presidential Directive,,3/30/2011,3/30/2011,presidential-policy-directive-8-national-preparedness.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/NYPZ8tNPoYIpJnqK-ca9Vg/CtfCd0ZLrLdWc0qutro7oRKW_Bpq_20Pk0KjCUuMBZK8a2ig2us8cqEjqRr-GiatxTO9gU702sBQDn5JeCDR2V0xcLPCPN-KH-rtENInCJJyEEfXDxe9duNiaBUaJsh0BrMpsCaeTVo9OTImhDmVRwTiegKTx0lz5L-9B4SpRwmzKkinv2MNUkdwmoQgGw1c7fVRTDoHhcb1iZF6anNGYQ/wU4rwBRCrjXG1BGUoNx6ogBYFRl6KrqSumNYLZNs45w),,https://www.dhs.gov/xlibrary/assets/presidential-policy-directive-8-national-preparedness.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Presidential Policy Directive 2,,"This directive outlines measures to implement the National Strategy for Countering Biological Threats. It includes requirements for executive agencies to develop an implementation plan, guidance on submitting budgets for programs and required annual reporting on progress toward strategy implementation. The directive also established an Interagency Policy Committee to oversee and coordinate implementation. ",Presidential Policy Directive 2,Department of Health and Human Services,No triggering event - Capacity Building,N/A,"Military Readiness,Mission Assignment/Response Coordination",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Presidential Directive,Include,Presidential Directive,,11/23/2009,11/23/2009,ppd-2.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/8HPk95c843opuNpw-gV6Yw/kdTLscvbuki50QepsO2rIxQ2c-nxdSNxUmrBrspb8tweq0EzIQVjS59YpnVLBA4ghd-pribarK18YL-gEO-hhrOZe5-p9G6zpP5ysIvqMOtXBfNW0eGh8m3S-0QJ0XPDhfeyt9wVIaOfdN_lm0jLzQ/yUz_ulC7-uZ-WyClpYW6owYyOAHaZlHU4XhRdGf7a78),,https://irp.fas.org/offdocs/ppd/ppd-2.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
National Security Presidential Directive 33,,"This directive aims to safeguard federally funded research and development from foreign interference. It strengthens disclosure requirements for federally funded awards, establishes research security programs, and implements potential violation penalties.",National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,N/A,Research and Development,Not applicable,Both,Yes - Subject to Posse Comitatus,Presidential Directive,,Presidential Directive,,4/28/2004,4/28/2004,osp_Presidential-Memorandum-on-United-States-Government-Supported-Research-and-Development-National-Security-Policy-NSP-33.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/LA8VGwS1QV9bMBEofuWfig/e_ergHqEv27uno6CjewU4QXRqleptlUo6znLN98VckGb8T08alQouVVkH4goGW7i55TvxHUBb7xnTIO6hA4TxSV9JmKCY8enDaCBeLf8jOFvEIeFyZ6FQF9LPotutn0Owei1wXPwlcCo4BgdSsvReLtbWitgEiq87X48vnpwpFsT3wt5STDeLLYW0BGbK2O_zxM6vsT5AcOVH6irDauDQCV36qr0eikuarEvz0vjjsejPJF44T9pyQKCwl2WMrp2fZz2FLQL96O2hSA3LprIKMdBs4Fid9NMaT8WZJojh8bmZE9ek_1fP4R9XMqOPCdA/xeI592x9nK5MJQR4FeVyETSXK_H5_inRiH0Kc6_W3Jk),,https://osp.unc.edu/wp-content/uploads/sites/1202/2022/06/osp_Presidential-Memorandum-on-United-States-Government-Supported-Research-and-Development-National-Security-Policy-NSP-33.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 12148,,"This EO was created consolidate disaster response under a single entity within the executive agencies. This entity, the Federal Emergency Management Agency (FEMA) was created to improve efficiency and coordination between offices tasked with responding to emergency incidents. Functions previously housed under the Department of Defense, Department of Housing and Urban Development and various other agencies were pulled into FEMA, which was broadly tasked with federal emergency preparedness, mitigation, response and recovery efforts. ",Executive Order 12148,"Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Defense,Department of Commerce,General Services Administration",No triggering event - Capacity Building,"N/A
",Mission Assignment/Response Coordination,When Stafford is trigger,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,7/20/1979,,eo12148.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/JOuR7MN4goxcZHsXz8Fc7A/Pf7Vs2SVgrPB57Tn9grw5y4DKtGChosDZ5UujbHpMYxdPEyZnX6wkiG-K575i02FPuxI-4ExwHuIe5soGD9cLBqXPtFYUpGxvmEjksJx2qpphVYlzaPlwG9s2Z2IJVBuGC0vrg55kaFVDi23g1_H4-r7fYw4O8SKnzKiILPTZHg/Hsl4ssaDbpgF5NRmD7HfR9WlKFOymbXlJNOoiF1_e14),,https://irp.fas.org/agency/dhs/fema/eo12148.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
Executive Order 13911,,"This EO leverages the Defense Production Act and empowers the Secretary of Homeland Security and Health and Human Services Secretaries to more effectively respond to the COVID-19 pandemic by allowing them to guarantee loans, make purchases, and take other steps to expand domestic production of health and medical resources needed to combat COVID-19. The EO also allows the secretaries to establish voluntary agreements and advisory committees to support these efforts. ",Executive Order 13911,"Department of Health and Human Services,Department of Homeland Security",Health Emergency,"COVID-19 Pandemic
","Government Contracts,Provision of Supplies",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,3/27/2020,,2020-06969.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/VstZwSMpIUL0z7FNyKiImw/leR2WbKzVLw45BF3yRii92ukbydAX4KkVDIweRC1z53WTxqdpJFYCLpx1p3QFTQoXuqDFBR_o0YOyF_WQ8L2SUrZNXkGTtPkSoyFYI7Wj7omZIw-dw4gaEzgIhRpn7OM0vUdKZ-TEdfHXWymPKK1Lg/bObBmjopvd36VEFTYoDt7pVNFm0QykZiRxF_LAXl1xc),,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06969.pdf,No,,No,,Scenario 2,
Executive Order 13912,,This EO empowered the Secretaries of Defense and Homeland Security to activate National Guard and Individual Ready Reserve members for up to two years to support the COVID-19 response efforts. The authority for this order is derived from 10 USC § 121 and § 12302. The order allows for the activation of up to one million members of the Reserve and will be coordinated and commanded by the secretaries of Defense and Homeland Security. ,Executive Oder 13912,"Department of Health and Human Services,Department of Defense",Health Emergency,"COVID-19 Pandemic
","""Troop, Uniformed Service, or National Guard Deployment""",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,Include,Executive Order,,3/27/2020,,2020-06985.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/jq1SdRxtM7WM0_JNJQED7w/TlAyybyJ1u3YrCyN0L4WTxti1UGab2XnCvJZuwr7l-10-6R4TPleJGc6UYoXcjx3UfO3rcp9EveEe_VXmB34CiNJmzmfmeZKLoQijtf1lnYsoXKOAQrxSfKNAjAmQeD1BvYtrQ-ukKbIGQzyvZx5GA/5x3uGTjxIx3zyhVI4sC_UAGdtIqPM58XDZX7nDilD40),,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06985.pdf,No,,No,,Scenario 2,
Executive Order 13941,,"This EO was intended to improve rural health and expand telehealth access as a response mechanism to challenges highlighted by the COVID-19 pandemic. The order required the Secretary of Health and Human Services (HHS) to develop and innovative payment model for such telehealth visits, and in conjunction with the Secretary of Agriculture, to develop and implement a strategy to improve physical and communications healthcare infrastructure in rural areas within the United States. Finally, HHS was tasked with proposing regulations to extend the measures implemented to increase access to telehealth services during COVID-19 beyond the emergency period. ",Executive Order 13941,"Department of Health and Human Services,Department of Agriculture,Federal Communications Commission,Executive Office of the President of the United States - Office of Management and Budget",Health Emergency,"COVID-19 Pandemic
","Provision of Medical Care,Communications",Not applicable,Domestic,No,Executive Order,Include,Executive Order,,8/3/2020,,2020-17364.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728684000000/ANVhuLon5MwpT6PzySDckQ/PLv1E8_p8m9LZo4UN5M7aIa4enyQilKehmXEgZl1coOvbifeH9I-v_c4wf8Oc8OGuzBQRL-RdAWGMbOZadiTwinrlu4-0gjUD6Rxthb5BMRJIP8hkmPXhe4Yvv5wxzmuNi05-NFi9grdDdeCiBDinQ/HsrAiYD-g318mTx-1F9NqCfPVNGxYy6wNmZC13GnDdw),,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17364.pdf,No,,Yes,,Scenario 2,
