Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,Powers Invoked,State Trigger,Location,Military Involvement (Federal),Document Type,Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations and Statutes: Relevant Chapter, Section or Article",Scenarios Matrix,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Plans & Strategies
Homeland Security Presidential Directive 5,,"This directive was issued to improve response to domestic incidents by establishing a management system. The main actor is the DHS. It acts to ensure effective response to various types of emergencies in the US.
",Homeland Security Presidential Directive 5,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,Health Emergency,No triggering event - Capacity Building","The national incident management system established by this act may be used in the event of a public health emergency to coordinate a comprehensive response between agencies.
","Mission Assignment/Response Coordination,Response Leadership,Strategies and General Preparedness Efforts",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,4,2/28/2003,,PPP-2003-book1-doc-pg229.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/37sywWp0oS7-5AVDDQ1msA/JP3a6TH9zVFpUC-V1f6Y5qyDVvZbzThpnCXKBRpUGGtkIVYOdEpjo0LrCISy73220TSPg3SQx7uF9bEqOTEGZg3h8aAL5cokPeGi3fLCglZ5dU-SKmr73T3Jlt7R5ityrl5Xp_KrjSTHsenDU3DBlKylrw4AVYIFJwrXz5RXTsgansnr39bTh-0ItzC6QUO3/BkPoX2NSF-qSmX67oxH3cKr120_kPdMoLz2n_MwcdvY),,https://www.govinfo.gov/content/pkg/PPP-2003-book1/pdf/PPP-2003-book1-doc-pg229.pdf,
Presidential Policy Directive 8,,"This directive strengthens the US security system against terrorism, health crises, natural disasters, and cybersecurity threats. Major agencies include DHS, HHS, and DOD, along with others that work to provide mitigation strategies. ",Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Environmental Protection Agency,Department of Agriculture,Department of Defense,Department of Transportation,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,The directive is a prophylactic measure aimed at preventing future health crises and emergencies. ,"Strategies and General Preparedness Efforts,Military Readiness,Response Leadership",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,4,3/30/2011,,presidential-policy-directive-8-national-preparedness.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/ft8kdP5qtteOl5dXc5ZpzA/mNZ4599RxufkOvBYUuRUeMjHndw1rCWgCwSkmKz4yj0C4af4hgMOaMmTkB2FumeKjIQ0cepJ3KFRHJ5JyBM7AVUvf1szvpgOthCETU2yotLfq3ICy9URgCR5I9GT9UzU9bb1RVPV1d4qORR4xJzGQcsbObt-Ieh9eecdDJWnRosFHf8k_0l9U4QgDP-2QJeRs6tSx5Nm0VhV36BwfHcidw/RLWepII6XRKEjEB-tdQxuD9GU1TbLCVQ2YW8DlFo7IY),,https://www.dhs.gov/xlibrary/assets/presidential-policy-directive-8-national-preparedness.pdf,
"Executive Order 11,988, Floodplain Management",,"This order requires federal agencies to minimize flood impacts on human welfare. They must evaluate effects of actions in floodplains, consider flood hazards, and provide a public review of plans. ","""Executive Order 11,988, Floodplain Management""","Federal Emergency Management Agency,Department of Housing and Urban Development,Department of Agriculture,Department of Transportation,Environmental Protection Agency",No triggering event - Capacity Building,"This directive is meant to be used to coordinate and implement: ""the actions taken to plan, organize, equip, train, and exercise to build and sustain the capabilities necessary to prevent, protect against, mitigate the effects of, respond to, and recover from those threats that pose the greatest risk to the security of the Nation.""",Strategies and General Preparedness Efforts,Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,FEMA DOLR,5,5/27/1994,,final_e.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/klOVdalIJrA099POrJq_Lg/VXARlyAlDI8Zwj8pjKAnY3C9QhKafEGtrrMR5GbNfaY6kpjVrPCfn5Dm-NaJUoHiu1vsx5SNzC4LsW02dcpSMwYQFFZjCjUwZ3CgmD5iqFQhi5zrgB5FcQ7VtmEniLw7Oj5TEroZOY4rTNtfPa9Cug/Yqo3HWb9m_KA42eXw948zIVSI3yrK0CwwGsVXRCxi5Q),,https://www.fema.gov/pdf/plan/ehp/final_e.pdf,
Executive Order 12127,,"This executive order creates the Federal Emergency Management Agency (FEMA), consolidating disparate federal emergency management and response entities under a single agency. The order transfers functions from other departments into FEMA and outlines the roles and responsibilities of the new agency. ",Executive Order 12127,Federal Emergency Management Agency,No triggering event - Capacity Building,N/A,Mission Assignment/Response Coordination,Not applicable,Domestic,No,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,3/31/1979,3/31/1979,19367-19368.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/VFr-GxOuGYyKV3tB03Eyuw/73BB_qHOY3j5xFsrf1OgNSCuBv5wEDibGpKqj72TyOeRNwpnhvvniyoDXsmU_1AGWvUcjD-NfVXavoFc7JsQY83f048ZMxPoZCedHLloc2PzqEJl1oyXRkm0qW68L8HbStsIAtRyz7Q_uO5DQMOmugrt7P-v9-9oD2x69mxY0Qk/fPKMsTG1dAZRUjYsZW-f3r1JRNaMZf2k1VQCj_4dWCw),,https://archives.federalregister.gov/issue_slice/1979/4/3/19367-19368.pdf,
Executive Order 13228,,"This EO creates the Office of Homeland Security (OHS) and the Homeland Security Council (HSC) to enhance national security coordination. The order states that the function of OHS will be to coordinate executive branch efforts to holistically prepare for and respond to terrorist threats and facilitate cooperation with other agencies and subnational jurisdictions. Additionally, this order states that, in the event of terrorist attacks, the Director of OHS will be the primary coordinator for domestic response efforts.  ",Executive Order 13228,Department of Homeland Security,No triggering event - Capacity Building,"N/A
","Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,10/8/2001,10/8/2001,WCPD-2001-10-15-Pg1434.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/HurkKN8_JfCYrxrtealOtg/Rm6Ll77huIZ2vtXY8Y3gNhzs54zoMeLuqJDAMrzvVmv5nFFMoLqUEFXbax-5b18iWnsZ0h796-k8_JReVFtdHqqK2A9Z6PxNR1kx7Av10s52Qqf9MFW-DMEhKf61rESaNU2KoghocSreMvypp7OZu9ICd46g8MELUqETwjy9Fn3aC_4P4eLxihtnDodkAYGb/UIklB1WjSYQjSxmQiExf0a531WRHsQcNALuW9k5B2I8),,https://www.govinfo.gov/content/pkg/WCPD-2001-10-15/pdf/WCPD-2001-10-15-Pg1434.pdf,
Executive Order 13527,,"This EO was created to bolster the US defense to biological attack. The order established requirements to plan and prepare for provision of medical countermeasures (MCMs) to the American citizens in the event of a biological attack. The order requires interagency coordination, cooperation through levels of governance and planning for continuity of operations. Finally, the document mandates the development of a federal rapid response mechanism to dispense MCMs following a deliberate biological event.  ",Executive Order 13527,"Department of Homeland Security,Department of Defense,Department of Justice,Department of Health and Human Services",No triggering event - Capacity Building,"N/A
","Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,12/30/2009,12/30/2009,2010-38.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/q_lROsdlr792TjudXY7_Mg/pi73fV5nCyqZZnSJ3Pz5nKt0H19iW9Akj6T0yWA55HPi-0Ig8TZtxqMcKyW9t0KAKRa-WfRcHeMcXXzniRR9qWHF8B7D_Kj5E4M9__u2F-Nj66NU2yGkSDfCU4L50OIjmrhLzE2WpypTmDIFvBLru3dFtwNWJEnijevVXT94jbE/KViq5PM9gCVW-IaiY9Vh0xpz4J6DUu603CMAZXmHz7Q),,https://www.govinfo.gov/content/pkg/FR-2010-01-06/pdf/2010-38.pdf,
Executive Order 13747,,"This EO establishes the Global Health Security Agenda (GHSA) as a central initiative to the United States' mission of enhancing global capacity to prevent, detect and respond to infectious disease threats. The order states that the Department of Health and Human Services (HHS) will coordinate US governmental efforts to implement GHSA, establishes an interagency review council for policy guidance and coordination and requires an annual report be submitted by the council to the President. The order emphasizes the importance of interagency, multi-sectoral and international collaborations. ",Executive Order 13747,"Department of State,Department of Defense,Department of Agriculture,Department of Homeland Security,Department of Health and Human Services",No triggering event - Capacity Building,N/A,Strategies and General Preparedness Efforts,Not applicable,Both,Yes,Executive Order,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Executive Order,,11/4/2016,11/4/2016,DCPD-201600752.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/a8mxyvzJ99ac5P8a0VFUhQ/8DdfhBplHQMuStzrqdIKa4m0UDBotiCghCammI4X1122U44gtrQ9Clgam6jvp4SWU6Adz27Mh4R3d_R_P0lGiAEE4zXaJRI-aJZE3P0MD13GsEGeI5KSQcWyOFJ-muDE4mtIEU8Kn8nCx8dbS5lgl_Xw0gSpG4nTa4ykcRcNxJQ/Ai1CNBJIaOT-5DFEzvcpfy3gHV6_lQeL3WJ6EsXu-6Q),,https://www.govinfo.gov/content/pkg/DCPD-201600752/pdf/DCPD-201600752.pdf,
Presidential Policy Directive 8,,"This PPD broadly directs the government to strengthen security measures across a litany of threats, including public health threats. The directive mandates the development of a national preparedness goal to secure the nation and establishes a National Preparedness System to build the capacity required for achievement of the national preparedness goal. All information regarding progress and system capacity will be included in an annual National Preparedness Report. ",Presidential Policy Directive 8,"Department of Homeland Security,Federal Emergency Management Agency,Department of Justice,Department of Defense,Department of State,Department of Health and Human Services",No triggering event - Capacity Building,N/A,"Strategies and General Preparedness Efforts,Military Readiness",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Presidential Directive,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Presidential Directive,,3/30/2011,3/30/2011,presidential-policy-directive-8-national-preparedness.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/B9z7PY-AS8FJQLkR8KLaIA/MJzaZ1A_cDm5taNIm93-zp7aJpqduEijFJEb0kdVuZaBMJOV0AZI94B19nI-O2ipcpgEWAef4CbJLjc1euv1Nux553Z_bDrQeZRdXdlBiSDTG1WUINmUWib1DY5cLCEZ5J3608wCaWPsrpsjtEpwId8PDCmNiFgWoX7ac-gLdNzyRn5CyfcelN260YKLudcD6JolC9T_yA9yvKewcQ6BFg/CoIRHSMqki5aRHQ31MuFbd7VEwnnfMDCmgfjr5DLprs),,https://www.dhs.gov/xlibrary/assets/presidential-policy-directive-8-national-preparedness.pdf,
Presidential Policy Directive 2,,"This directive outlines measures to implement the National Strategy for Countering Biological Threats. It includes requirements for executive agencies to develop an implementation plan, guidance on submitting budgets for programs and required annual reporting on progress toward strategy implementation. The directive also established an Interagency Policy Committee to oversee and coordinate implementation. ",Presidential Policy Directive 2,Department of Health and Human Services,No triggering event - Capacity Building,N/A,"Military Readiness,Mission Assignment/Response Coordination",Not applicable,Domestic,Yes - Subject to Posse Comitatus,Presidential Directive,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Include,Presidential Directive,,11/23/2009,11/23/2009,ppd-2.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/qmC-bAHfhxWvApF0UigcBg/t-5H9tHWLUJHYahfEbIappDq5xdudBQTPH-_D18HU0fga7hAq-xwZp269zKsneqEejuXVq3enYUgnTpktYtfZNHBq_R5h6vdDQduX-BYAL84aBXJYkcO-doyN5VSp9NVNvb7tDQNYe061UxlT5T7Wg/iLe4Qs6a4uhZ9YhfcP8Q5c0ql4EbEcs-zP9OGDkREYc),,https://irp.fas.org/offdocs/ppd/ppd-2.pdf,
National Security Presidential Directive 33,,"This directive aims to safeguard federally funded research and development from foreign interference. It strengthens disclosure requirements for federally funded awards, establishes research security programs, and implements potential violation penalties.",National Security Presidential Directive 33,"Department of Defense,Department of Homeland Security,Department of Education,Broadly applies to any relevant federal agency,Department of State",No triggering event - Capacity Building,N/A,Research and Development,Not applicable,Both,Yes - Subject to Posse Comitatus,Presidential Directive,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",,Presidential Directive,,4/28/2004,4/28/2004,osp_Presidential-Memorandum-on-United-States-Government-Supported-Research-and-Development-National-Security-Policy-NSP-33.pdf (https://v5.airtableusercontent.com/v3/u/34/34/1730563200000/vyX7hTcR7e61jtw7bDlD4A/4kzUqOmZRf7CO7qMylYbubPn-S9NI184xbQmzzpInpnvSD1PnnnIed5UhKScWUhUYLebp4fuURbgP7T9yV2IHArst2YXjoyqmkEp8PLibvrC4zE7lTTDfwHYHpzw6xJY4ANIe5aNu1QS_I6sH490DKGlpjj0h_5x2M1wNLO3HwLHVLo8B32ZpX29Npzt1mb7eNViGUtmZErNImVRt7fJabBClsi833zyMHLNKahnvJMkJqNNVaOG5nKgqW9pPUnYRdJKwfOkQ_tmfwghYSrM6PiYwVW0ihGZF9XMdrVpINxlrNfOPIkQn-fRmgs8PaP8/pHpr6xgmiTpiq1N0Aso1AEZpLbilhES5Tn4-mdOO1bk),,https://osp.unc.edu/wp-content/uploads/sites/1202/2022/06/osp_Presidential-Memorandum-on-United-States-Government-Supported-Research-and-Development-National-Security-Policy-NSP-33.pdf,
